helper,function,date,set_no_internal,ref_no,cs_no,area,sales_area,hospital,doctor,brand,product,case_date,case_time,sending_date,due_time,courier,recipient,set_no,box_no,return_box,case_used,confirm_email,current_day,notice_return,status,status_date,remark
Sigma 3.5,,04-04-23,,,,UPC,SALES_012,HOSP_490,DR_500,Sigma 3.5,PMT+PLT,28-04-23,13:00,04-04-23,,,,-,-,-,คืนครบ,,3/18/2026,,Received,4/28/2023,"จากเดิมกำหนดผ่าวันที่ 5/4/23 ผท.แจ้งเลื่อน
จากเดิมกำหนดผ่าวันที่ 7/4/23 ผท.แจ้งเลื่อน
จากเดิมกำหนดผ่าวันที่ 12/4/23 ผท.แจ้งเลื่อน"
Sigma 5.0,,04-04-23,,REF_MASKED,,UPC,SALES_013,HOSP_282,DR_193,Sigma 5.0,PLT,17-04-23,9:00,04-04-23,,,,L25,ฟ้ากลาง,√,คืนครบ,,3/18/2026,,Received,4/21/2023,"จากเดิมกำหนดผ่าวันที่ 4/4/23 ผท.แจ้งเลื่อน
จากเดิมกำหนดผ่าวันที่ 7/4/23 ผท.แจ้งเลื่อน"
Sigma 5.0,,04-04-23,,,,UPC,SALES_020,HOSP_071,DR_1361,Sigma 5.0,PF,10-04-23,9:00,04-04-23,,,,L32,6/ข,√,คืนครบ,,3/18/2026,,Received,4/12/2023,จากเดิมกำหนดผ่าวันที่ 5/4/23 ผท.แจ้งเลื่อน
Sigma Nail,,04-04-23,,,,UPC,SALES_032,HOSP_187,-,Sigma Nail,PFNA (Hyper) SL,Stand by,,05-04-23,,,,"N04,N14",-,-,-,,3/18/2026,,Received,5/11/2023,
Auxein EF,,04-04-23,,,,BKK,SALES_005,HOSP_128,DR_706,Auxein EF,Expert nail femur,07-04-23,20:00,04-04-23,,,,-,-,-,-,,3/18/2026,,Received,4/7/2023,"มี สว่าน Auxian ทำเคส
Nail 13x400 LR
Nail 13x420 LR
มีทำเคสเพิ่มวันที่ 7/4/23"
Sigma 3.5,,04-04-23,,,,BKK,SALES_005,HOSP_296,DR_083,Sigma 3.5,PH+R,07-04-23,9:00,04-04-23,,,,-,-,-,-,,3/18/2026,,Received,4/10/2023,"มี เครื่องมือ 1 ชุด , Plate ยาว , Screw เต็ม Tray"
Sigma Nail,,07-04-23,,REF_MASKED,,BKK,SALES_009,HOSP_414,DR_487,Sigma Nail,PFNA (Hyper) SL,07-04-23,18:00,06-04-23,,,,N7,BL06,√,ใช้,,3/18/2026,,Received,4/9/2023,
Stryker T8,,07-04-23,,REF_MASKED,,BKK,SALES_009,HOSP_414,DR_505,Stryker T8,Variax distal radius T8,07-04-23,08:30,06-04-23,,,,11,GS02,√,ใช้,,3/18/2026,,Received,4/9/2023,
Stryker T8,,07-04-23,,REF_MASKED,,BKK,SALES_001,HOSP_417,DR_637,Stryker T8,Variax distal radius T8,07-04-23,13:00,05-04-23,,,,38,น้ำเงินเล็ก,√,ใช้,,3/18/2026,,Received,4/10/2023,
Auxein Fix,,07-04-23,,REF_MASKED,,BKK,SALES_001,HOSP_417,DR_637,Auxein Fix,Radial head and neck (Fix)(2.4) LR,07-04-23,17:00,07-04-23,,,,6,น้ำเงินเล็ก,√,ใช้,,3/18/2026,,Received,4/10/2023,มี Radial column + Ulnar column
Sigma 3.5,,07-04-23,,REF_MASKED,,BKK,SALES_009,HOSP_400,DR_764,Sigma 3.5,DMT+DAT,07-04-23,07:00,06-04-23,,,,S8,BM14,√,ใช้,,3/18/2026,,Received,4/9/2023,
Auxein EF,,07-04-23,,REF_MASKED,,BKK,SALES_003,HOSP_472,DR_769,Auxein EF,Expert nail femur LR,10-04-23,13:00,10-04-23,,,,1,BB01,√,ใช้,,3/18/2026,,Received,4/11/2023,
Sigma 3.5,,07-04-23,,REF_MASKED,,BKK,SALES_006,HOSP_228,DR_350,Sigma 3.5,PMT+PLT+PH+TP,12-04-23,9:00,10-04-23,,,,S38,-,-,ใช้,,3/18/2026,,Received,4/19/2023,"มี เครื่องมือ 1 ชุด
จากเดิมกำหนดผ่าวันที่ 11/4/23 ผท.แจ้งเลื่อน"
Sigma 3.5,,07-04-23,,REF_MASKED,,BKK,SALES_005,HOSP_086,DR_329,Sigma 3.5,DMT+DAT,09-04-23,13:00,07-04-23,,,,S70,BS20,√,ใช้,,3/18/2026,,Received,4/11/2023,"มี เครื่องมือ 1 ชุด , Plate ยาว"
Sigma 5.0,,07-04-23,,REF_MASKED,,UPC,SALES_020,HOSP_309,DR_131,Sigma 5.0,Distal femur (Large 5.0),08-04-23,12:00,07-04-23,,,,L40,BM13,√,ใช้,,3/18/2026,,Received,4/11/2023,มี Plate ยาว
Stryker T8,,07-04-23,,REF_MASKED,,BKK,SALES_006,HOSP_205,DR_474,Stryker T8,Variax distal radius T8,07-04-23,14:30,06-04-23,,,,16,น้ำเงินเล็ก,√,ใช้,,3/18/2026,,Received,4/10/2023,
Sigma 3.5,,07-04-23,,REF_MASKED,,BKK,SALES_002,HOSP_467,DR_538,Sigma 3.5,DMT+DAT+F,07-04-23,15:00,05-04-23,,,,S58,น้ำเงินเล็ก,√,ใช้,,3/18/2026,,Received,4/10/2023,
Sigma 5.0,,07-04-23,,REF_MASKED,,BKK,SALES_003,HOSP_472,DR_538,Sigma 5.0,Broad (Large 5.0),07-04-23,13:00,07-04-23,,,,L7,BB16,√,ใช้,,3/18/2026,,Received,4/10/2023,
Sigma 3.5,,07-04-23,,REF_MASKED,,UPC,SALES_014,HOSP_431,DR_294,Sigma 3.5,Proximal Humerus (Small 3.5),08-04-23,-,07-04-23,,,,S24,ฟ้าเล็ก,√,ใช้,,3/18/2026,,Received,4/12/2023,
Sigma Nail,,07-04-23,,REF_MASKED,,UPC,SALES_020,HOSP_338,DR_235,Sigma Nail,PFNA (Hyper) S,19-04-23,09:00,05-04-23,,,,N9,BL03,√,คืนครบ,,3/18/2026,,Received,4/24/2023,"จากเดิมกำหนดผ่าวันที่ 7/4/23 ผท.แจ้งเลื่อน
จากเดิมกำหนดผ่าวันที่ 10/4/23 ผท.แจ้งเลื่อน
จากเดิมกำหนดผ่าวันที่ 11/4/23 ผท.แจ้งเลื่อน"
Stryker T8T10,,07-04-23,,REF_MASKED,,UPC,SALES_025,HOSP_213,DR_265,Stryker T8T10,Foot and ankle (F&A T8+T10),10-04-23,10:00,07-04-23,,,,-,BS28,√,ใช้,,3/18/2026,,Received,5/12/2023,
Auxein VA,,07-04-23,,REF_MASKED,,UPC,SALES_026,HOSP_247,DR_583,Auxein VA,Distal radius VA,12-04-23,09:00,07-04-23,,,,9,ฟ้ากลาง,√,คืนครบ,,3/18/2026,,Received,4/24/2023,ผู้แทนจัดส่ง สยามเฟิร์ส RCA
Sigma 3.5,,07-04-23,,REF_MASKED,,UPC,SALES_026,HOSP_438,DR_127,Sigma 3.5,S,12-04-23,13:00,07-04-23,,,,S5,น้ำเงินเล็ก,√,คืนครบ,,3/18/2026,,Received,4/24/2023,ผู้แทนจัดส่ง สยามเฟิร์ส RCA
Sigma 3.5,,07-04-23,,,,BKK,SALES_006,HOSP_228,DR_201,Sigma 3.5,PH,07-04-23,09:00,05-04-23,,,,-,-,-,-,,3/18/2026,,Received,4/9/2023,(คลังยืม) ไม่ทำเอกสาร ส่งเมล์
Sigma 3.5,,07-04-23,,,,UPC,SALES_012,HOSP_490,DR_500,Sigma 3.5,"Sigma 5.0 Instrument,
Small (Small 3.5) (เอาเฉพาะ Plate)",07-04-23,12:30,06-04-23,,,,L54,-,-,-,,3/18/2026,,Received,4/11/2023,
Sigma 5.0,,07-04-23,,,,UPC,SALES_018,HOSP_084,DR_295,Sigma 5.0,DF,11-04-23,-,07-04-23,,,,-,-,-,-,,3/18/2026,,Received,4/20/2023,มี Plate ยาว
Stryker T8,,07-04-23,,,,BKK,SALES_001,HOSP_417,DR_637,Stryker T8,Variax distal radius T8 (เอาเฉพาะ Plate),07-04-23,-,07-04-23,,,,-,-,-,คืนครบ,,3/18/2026,,Received,4/10/2023,
Sigma 5.0,,10-04-23,,REF_MASKED,,UPC,SALES_018,HOSP_190,DR_310,Sigma 5.0,DF (เฉพาะ Plate),12-04-23,10:00,09-04-23,,,,-,-,-,คืนครบ,,3/18/2026,,Received,7/31/2024,ขอทำวาง รอทำเป็น ยย.
Sigma 5.0,,10-04-23,,REF_MASKED,,UPC,SALES_018,HOSP_190,DR_310,Sigma 5.0,PLT (เฉพาะ Plate),12-04-23,10:00,09-04-23,,,,-,-,-,คืนครบ,,3/18/2026,,Received,7/31/2024,ขอทำวาง รอทำเป็น ยย.
Sigma 5.0,,10-04-23,,REF_MASKED,,BKK,SALES_003,HOSP_155,DR_355,Sigma 5.0,Narrow (Large 5.0),08-04-23,14:00,08-04-23,,,,L4,BM14,√,ใช้,,3/18/2026,,Received,4/11/2023,
Sigma 3.5,,10-04-23,,REF_MASKED,,BKK,SALES_009,HOSP_414,DR_555,Sigma 3.5,Fibular plate (Small 3.5),17-04-23,10:00,09-04-23,,,,S16,BM08,√,ใช้,,3/18/2026,,Received,4/12/2023,จากเดิมกำหนดผ่าวันที่ 10/4/23 ผท.แจ้งเลื่อน
Sigma 3.5,,10-04-23,,REF_MASKED,,BKK,SALES_009,HOSP_414,DR_555,Sigma 3.5,Fibular plate (Small 3.5),11-04-23,09:00,09-04-23,,,,S35,BM08,√,ใช้,,3/18/2026,,Received,4/17/2023,
Sigma Nail,,10-04-23,,REF_MASKED,,BKK,SALES_005,HOSP_335,DR_579,Sigma Nail,PFNA (Hyper) SL,11-04-23,09:00,10-04-23,,,,N7,BL06,√,ใช้,,3/18/2026,,Received,4/11/2023,"มี Long nail 9 x 340 LR
Long nail 9 x 380 LR
Lag TFN"
Sigma Nail,,10-04-23,,REF_MASKED,,BKK,SALES_005,HOSP_335,DR_579,Sigma Nail,PFNA (Hyper) SL,12-04-23,11:00,10-04-23,,,,N7,BL06,√,ใช้,,3/18/2026,,Received,4/11/2023,"มี Long nail 9 x 340 LR
Long nail 9 x 380 LR
Lag TFN
จากเดิมกำหนดผ่าวันที่ 11/4/23 ผท.แจ้งเลื่อน"
Stryker T8,,10-04-23,,REF_MASKED,,BKK,SALES_001,HOSP_417,DR_421,Stryker T8,Variax distal radius T8,10-04-23,07:30,08-04-23,,,,36,BM18,√,ใช้,,3/18/2026,,Received,4/11/2023,
Sigma 3.5,,10-04-23,,REF_MASKED,,BKK,SALES_001,HOSP_417,DR_421,Sigma 3.5,Proximal humerus (Small 3.5),10-04-23,07:30,09-04-23,,,,33,เขียวเล็ก,√,ใช้,,3/18/2026,,Received,4/11/2023,
Stryker T8,,10-04-23,,REF_MASKED,,BKK,SALES_006,HOSP_228,DR_852,Stryker T8,Variax distal radius T8,11-04-23,14:00,11-04-23,,,,9,น้ำเงินเล็ก,√,ใช้,,3/18/2026,,Received,4/11/2023,
Sigma 3.5,,10-04-23,,REF_MASKED,,UPC,SALES_012,HOSP_490,DR_500,Sigma 3.5,DMT+DAT,28-04-23,09:00,09-04-23,,,,-,-,-,คืนครบ,,3/18/2026,,Received,4/28/2023,จากเดิมกำหนดผ่าวันที่ 12/4/23 ผท.แจ้งเลื่อน
Stryker T10,,10-04-23,,REF_MASKED,,UPC,SALES_020,HOSP_338,DR_222,Stryker T10,Calcaneus T10,19-04-23,09:00,08-04-23,,,,-,BS01,√,ใช้,,3/18/2026,,Received,4/24/2023,จากเดิมกำหนดผ่าวันที่ 11/4/23 ผท.แจ้งเลื่อน
Sigma Nail,,10-04-23,,REF_MASKED,,UPC,SALES_020,HOSP_338,DR_235,Sigma Nail,PFNA (Hyper) S (เอาเฉพาะ Implant+Guide),11-04-23,09:00,08-04-23,,,,-,BS01,√,ใช้,,3/18/2026,,Received,4/18/2023,จากเดิมกำหนดผ่าวันที่ 9/4/23 ผท.แจ้งเลื่อน
Sigma 3.5,,10-04-23,,REF_MASKED,,UPC,SALES_020,HOSP_338,DR_235,Sigma 3.5,Distal humerus (Elbow),10-04-23,09:00,09-04-23,,,,13,BM10,√,ใช้,,3/18/2026,,Received,4/18/2023,
Sigma 3.5,,10-04-23,,REF_MASKED,,UPC,SALES_024,HOSP_401,DR_815,Sigma 3.5,PMT+PLT,19-04-23,-,08-04-23,,,,S67,น้ำเงินเล็ก,√,ใช้,,3/18/2026,,Received,4/24/2023,"มี เครื่องมือ 1 ชุด , Screw เต็ม Tray
จากเดิมกำหนดผ่าวันที่ 12/4/23 ผท.แจ้งเลื่อน"
Sigma 7.3,,10-04-23,,REF_MASKED,,UPC,SALES_026,HOSP_487,DR_235,Sigma 7.3,PF,11-04-23,09:00,10-04-23,,,,24,BM01,√,คืนครบ,,3/18/2026,,Received,4/24/2023,ผู้แทนจัดส่ง สยามเฟิร์ส RCA
Sigma 3.5,,10-04-23,,REF_MASKED,,UPC,SALES_015,HOSP_143,DR_373,Sigma 3.5,PMT,20-04-23,9:30,10-04-23,,,,-,-,-,ใช้,,3/18/2026,,Received,4/25/2023,จากเดิมกำหนดผ่าวันที่ 4/4/23 ผท.แจ้งเลื่อน
Sigma Nail,,10-04-23,,REF_MASKED,,UPC,SALES_012,HOSP_490,DR_500,Sigma Nail,PFNA (Hyper) SL,12-04-23,09:00,10-04-23,,,,N15,BM21,√,คืนครบ,,3/18/2026,,Received,4/28/2023,
Sigma 3.5,,10-04-23,,,,BKK,SALES_005,HOSP_168,DR_180,Sigma 3.5,PMT+PLT,10-04-23,12:00,10-04-23,,,,"L55,S13",-,-,-,,3/18/2026,,Received,4/11/2023,"มี Plate ยาว , Screw เต็ม Tray"
Sigma 3.5,,10-04-23,,,,BKK,SALES_009,HOSP_414,DR_274,Sigma 3.5,PMT+PLT,11-04-23,14:00,10-04-23,,,,68,น้ำเงินใหญ่,√,คืนครบ,,3/18/2026,,Received,4/17/2023,มี เครื่องมือ 1 ชุด
Sigma 3.5,,11-04-23,,REF_MASKED,,BKK,SALES_001,HOSP_417,DR_170,Sigma 3.5,"Proximal medial tibia (Small 3.5),
Proximal lacteral tibia (Small 3.5)",11-04-23,10:00,11-04-23,,,,S31,น้ำเงินเล็ก,√,ใช้,,3/18/2026,,Received,4/11/2023,
Sigma Nail,,11-04-23,,,,UPC,SALES_023,HOSP_025,-,Sigma Nail,PFNA (Hyper) SL,คลังวาง,-,11-04-23,,,,-,-,-,-,,,,Consign,Consign,
Off Plate,,11-04-23,,,,BKK,SALES_009,HOSP_400,DR_074,Off Plate,Off plate sigma 3.5,11-04-23,13:00,11-04-23,,,,-,-,-,-,,3/18/2026,,Received,4/12/2023,
Sigma 3.5,,12-04-23,,REF_MASKED,,BKK,SALES_006,HOSP_452,DR_333,Sigma 3.5,"Distal medial tibia (Small 3.5),
Distal anterolateral tibia (Small 3.5),
Fibular plate (Small 3.5)",11-04-23,20:00,11-04-23,,,,S43,BS29,√,ใช้,,3/18/2026,,Received,4/12/2023,
Stryker T8,,12-04-23,,REF_MASKED,,BKK,SALES_009,HOSP_414,,Stryker T8,Variax distal radius T8,Stand by,,12-04-23,,,,10,BL09,√,ใช้,,3/18/2026,,Received,4/17/2023,
Sigma 5.0,,12-04-23,,REF_MASKED,,BKK,SALES_001,HOSP_417,,Sigma 5.0,Broad (Large 5.0),12-04-23,20:00,12-04-23,,,,L7,GM03,√,ใช้,,3/18/2026,,Received,4/17/2023,
Sigma 3.5,,12-04-23,,REF_MASKED,,BKK,SALES_001,HOSP_417,,Sigma 3.5,"Distal humerus (Elbow),
Cavical plate",Stand by,,12-04-23,,,,-,GL03,√,ใช้,,3/18/2026,,Received,4/17/2023,
Auxein Fix,,12-04-23,,REF_MASKED,,UPC,SALES_026,HOSP_247,DR_672,Auxein Fix,PR,16-04-23,09:00,11-04-23,,,,5,GS02,√,คืนครบ,,3/18/2026,,Received,4/24/2023,ผู้แทนจัดส่ง สยามเฟิร์ส RCA
Sigma 3.5,,12-04-23,,REF_MASKED,,UPC,SALES_020,HOSP_368,,Sigma 3.5,PH ( เฉพาะ Plate ),Stand by,,12-04-23,,,,-,-,-,-,,,,Received,6/20/2024,
Sigma Nail,,12-04-23,,REF_MASKED,,UPC,SALES_020,HOSP_368,,Sigma Nail,PFNA (Hyper) SL,Stand by,,12-04-23,,,,N12,BL23,-,-,,3/18/2026,,Received,7/6/2023,
Sigma 2.7/3.5,,12-04-23,,REF_MASKED,,UPC,SALES_020,HOSP_071,,Sigma 2.7/3.5,Distal humerus (Elbow),Stand by,,12-04-23,,,,12,BS12,√,ใช้,,3/18/2026,,Received,4/21/2023,
Sigma 5.0,,12-04-23,,REF_MASKED,,UPC,SALES_018,HOSP_109,,Sigma 5.0,Distal femur (Large 5.0) LR,12-04-23,13:30,11-04-23,,,,L28,GM00,√,คืนครบ,,3/18/2026,,Received,5/11/2023,
Sigma 3.5,,12-04-23,,REF_MASKED,,UPC,SALES_015,HOSP_307,DR_2065,Sigma 3.5,Eight plate (Small 3.5),20-04-23,,12-04-23,,,,33,BS20,√,ใช้,,3/18/2026,,Received,5/15/2023,ผู้แทนรับกลับมาที่ สนญ. เอง 12/5/2023
Sigma 2.7/3.5,,12-04-23,,REF_MASKED,,UPC,SALES_011,HOSP_344,DR_663,Sigma 2.7/3.5,Distal humerus (Elbow),13-04-23,08:00,11-04-23,,,,8,น้ำเงินกลาง,√,ใช้,,3/18/2026,,Received,5/5/2023,
Sigma 5.0,,12-04-23,,REF_MASKED,,BKK,SALES_005,HOSP_125,DR_159,Sigma 5.0,DF+B,12-04-23,16:30,12-04-23,,,,L40,BM31,√,ใช้,,3/18/2026,,Received,4/18/2023,
Sigma 3.5,,12-04-23,,REF_MASKED,,BKK,SALES_005,HOSP_086,,Sigma 3.5,DMT+DAT,Stand by,,12-04-23,,,,S26-1,น้ำเงินเล็ก,√,ใช้,,3/18/2026,,Received,4/18/2023,"มี เครื่องมือ 1 ชุด , Plate ยาว
ขาด Plate รับวันศุกร์ที่รพ. ศิริราช"
Sigma 2.7/3.5,,12-04-23,,REF_MASKED,,BKK,SALES_007,HOSP_369,,Sigma 2.7/3.5,"Cavical plate,
Hook plate",Stand by,,12-04-23,,,,7,BM08,√,ใช้,,3/18/2026,,Received,4/18/2023,มี เครื่องมือ 1 ชุด
Stryker T8,,12-04-23,,,,UPC,SALES_025,HOSP_061,DR_842,Stryker T8,Variax distal radius T8,14-04-23,,12-04-23,,,,36,เขียวเล็ก,√,คืนครบ,,3/18/2026,,Received,4/20/2023,
Auxein ET,,12-04-23,,,,BKK,SALES_001,HOSP_417,,Auxein ET,Expert tibia,Stand by,,12-04-23,,,,-,4/น,√,คืนครบ,,3/18/2026,,Received,4/17/2023,
Auxein EF,,12-04-23,,,,BKK,SALES_001,HOSP_417,,Auxein EF,Expert nail femur LR,Stand by,,12-04-23,,,,8,BB10,√,คืนครบ,,3/18/2026,,Received,4/17/2023,
Sigma 5.0,,12-04-23,,,,BKK,SALES_001,HOSP_417,,Sigma 5.0,Distal femur (Large 5.0) LR,Stand by,,12-04-23,,,,L55,GL03,√,คืนครบ,,3/18/2026,,Received,4/17/2023,
Sigma 3.5,,12-04-23,,,,BKK,SALES_001,HOSP_417,,Sigma 3.5,DMT+DAT+PMT+PLT+PH,Stand by,,12-04-23,,,,S58,GL05,√,คืนครบ,,3/18/2026,,Received,4/17/2023,
Stryker T8,,12-04-23,,,,BKK,SALES_002,HOSP_060,,Stryker T8,Variax distal radius T8,Stand by,,12-04-23,,,,16,BM14,√,คืนครบ,,3/18/2026,,Received,4/17/2023,
Sigma 3.5,,12-04-23,,,,BKK,SALES_002,HOSP_060,,Sigma 3.5,DMT+DAT+PMT+PLT+PH,Stand by,,12-04-23,,,,S60,BM14,√,คืนครบ,,3/18/2026,,Received,4/17/2023,
Stryker T8,,12-04-23,,,,BKK,SALES_003,HOSP_052,,Stryker T8,Variax distal radius T8,Stand by,,12-04-23,,,,38,BM16,√,คืนครบ,,3/18/2026,,Received,4/18/2023,
Sigma 3.5,,12-04-23,,,,BKK,SALES_003,HOSP_052,,Sigma 3.5,DMT+PMT+PLT+F,Stand by,,12-04-23,,,,S13,BS16,√,คืนครบ,,3/18/2026,,Received,4/17/2023,
Auxein ET,,12-04-23,,,,BKK,SALES_003,HOSP_270,,Auxein ET,Expert tibia,Stand by,,12-04-23,,,,1,BM34,√,คืนครบ,,3/18/2026,,Received,4/18/2023,
Auxein EF,,12-04-23,,,,BKK,SALES_003,HOSP_270,,Auxein EF,Expert nail femur LR,Stand by,,12-04-23,,,,-,BB15,√,คืนครบ,,3/18/2026,,Received,4/18/2023,
Sigma Nail,,12-04-23,,,,BKK,SALES_003,HOSP_270,,Sigma Nail,PFNA (Hyper) SL,12-04-23,09:00,11-04-23,,,,N16,BL06,√,คืนครบ,,3/18/2026,,Received,4/18/2023,
Sigma 5.0,,12-04-23,,,,BKK,SALES_005,HOSP_086,,Sigma 5.0,DF+PLT,Stand by,,12-04-23,,,,L3,BM18,√,คืนครบ,,3/18/2026,,Received,4/18/2023,
Stryker T8,,12-04-23,,,,BKK,SALES_005,HOSP_296,,Stryker T8,Variax distal radius T8,Stand by,,12-04-23,,,,11,-,-,คืนครบ,,3/18/2026,,Received,4/17/2023,
Auxein EF,,12-04-23,,,,BKK,SALES_005,HOSP_296,,Auxein EF,"Expert nail tibia,
Expert nail femur LR",Stand by,,12-04-23,,,,4,-,-,คืนครบ,,3/18/2026,,Received,4/17/2023,
Sigma Nail,,12-04-23,,,,BKK,SALES_005,HOSP_394,,Sigma Nail,PFNA SL,Stand by,,12-04-23,,,,-,GL08,√,คืนครบ,,3/18/2026,,Received,4/17/2023,
Sigma 3.5,,12-04-23,,,,BKK,SALES_005,HOSP_296,,Sigma 3.5,PMT+PLT,Stand by,,12-04-23,,,,-,-,-,คืนครบ,,3/18/2026,,Received,4/17/2023,"มี เครื่องมือ 1 ชุด , Plate ยาว"
Sigma 3.5,,12-04-23,,,,BKK,SALES_009,HOSP_414,,Sigma 3.5,3.5 Instument+Screw,Stand by,,12-04-23,,,,S40,BL09,√,คืนครบ,,3/18/2026,,Received,4/17/2023,
Sigma 3.5,,12-04-23,,,,BKK,SALES_009,HOSP_414,,Sigma 3.5,DMT+DAT+PMT+PLT+PH,Stand by,,12-04-23,,,,S8,BL09,√,คืนครบ,,3/18/2026,,Received,4/17/2023,
Sigma 2.7/3.5,,12-04-23,,,,BKK,SALES_009,HOSP_414,,Sigma 2.7/3.5,"Cavical plate,
Hook plate",Stand by,,12-04-23,,,,1/5/2023,BL09,√,คืนครบ,,3/18/2026,,Received,4/17/2023,
Sigma 3.5,,17-04-23,,REF_MASKED,,UPC,SALES_026,HOSP_365,DR_601,Sigma 3.5,Calcaneus (Small 3.5) LR (เอาเฉพาะ Plate),18-04-23,09:00,17-04-23,,,,-,-,-,คืนครบ,,3/18/2026,,Received,5/9/2023,ผู้แทนรับกลับมาที่ สนญ. เอง
Sigma 3.5,,17-04-23,,REF_MASKED,,UPC,SALES_018,HOSP_497,DR_761,Sigma 3.5,DMT,18-04-23,10:00,17-04-23,,,,S9,BM16,√,ใช้,,3/18/2026,,Received,4/26/2023,มี Plate ยาว
Sigma 3.5,,17-04-23,,REF_MASKED,,UPC,SALES_012,HOSP_490,DR_500,Sigma 3.5,S+F,28-04-23,09:00,17-04-23,,,,-,-,-,คืนครบ,,3/18/2026,,Received,4/28/2023,จากเดิมกำหนดผ่าวันที่ 19/4/23 ผท.แจ้งเลื่อน
Sigma 2.7/3.5,,17-04-23,,REF_MASKED,,UPC,SALES_012,HOSP_490,DR_500,Sigma 2.7/3.5,C+H,28-04-23,09:00,17-04-23,,,,14,GM01,√,ใช้,,3/18/2026,,Received,4/29/2023,จากเดิมกำหนดผ่าวันที่ 19/4/23 ผท.แจ้งเลื่อน
Stryker T8,,17-04-23,,REF_MASKED,,BKK,SALES_009,HOSP_039,DR_837,Stryker T8,Variax distal radius T8,17-04-23,17:00,17-04-23,,,,31,น้ำเงินเล็ก,√,ใช้,,3/18/2026,,Received,4/19/2023,
Sigma 5.0,,17-04-23,,REF_MASKED,,UPC,SALES_012,HOSP_490,DR_500,Sigma 5.0,Narrow (Large 5.0),28-04-23,09:00,17-04-23,,,,L32,GM01,√,คืนครบ,,3/18/2026,,Received,4/28/2023,จากเดิมกำหนดผ่าวันที่ 19/4/23 ผท.แจ้งเลื่อน
Auxein Fix,,17-04-23,,REF_MASKED,,UPC,SALES_012,HOSP_427,DR_181,Auxein Fix,PR,12-05-23,13:00,17-04-23,,,,03,BS29,√,คืนครบ,,3/18/2026,,Received,5/23/2023,"จากเดิมกำหนดผ่าวันที่ 20/4/23 ผท.แจ้งเลื่อน
จากเดิมกำหนดผ่าวันที่ 28/4/23 ผท.แจ้งเลื่อน
จากเดิมกำหนดผ่าวันที่ 04/5/23 ผท.แจ้งเลื่อน
โยกไป รพ. เชียงคำ"
